Production Year,Production Date Entered,Operator,County,Field,Active Oil Wells,Inactive Oil Wells,Self-use Well
1972,09/20/1994,"Suozzi, Daniel",Erie,EAST AURORA,0,0,YES
1988,03/31/1989,TGX Corp.,Erie,CONCORD,0,0,NO
1977,08/10/1994,"Fitzgerald, Marie C.",Allegany,CLARKSVILLE,0,0,NO
1976,08/22/1994,"Christman, Raymond L.",Allegany,FULMER VALLEY,1,0,NO
1987,04/22/1988,"Pioneer Resources, Inc.",Seneca,FAYETTE-WATERLOO,0,0,NO
1992,04/20/1993,National Fuel Gas Supply Corp.,Genesee,ALDEN-LANCASTER,0,0,NO
1971,09/29/1994,Iroquois Gas Corp.,Allegany,BEECH HILL-INDEPENDENCE,0,0,INACTIVE
1986,02/27/1987,Gypsum Energy Management Co.,Genesee,HURON CREEK,0,0,NO
1991,01/28/1992,"Fitzgerald, Thomas J.",Allegany,RICHBURG,3,2,NO
1993,03/22/1994,"Weil Resources, Inc.",Erie,TRAVERS,1,0,NO
1987,05/17/1988,Walker Exploration & Production Corp.,Chautauqua,LAKESHORE,0,0,NO
1997,05/13/1998,Perry Energy III,Livingston,SILVER LAKE,0,0,NO
1978,07/11/1994,"Vossler, Merritt",Allegany,RICHBURG,14,16,NO
1991,02/27/1992,"Chapman-Bay Energy Co., Inc.",Erie,ORCHARD PARK-HAMBURG,0,0,NO
1999,03/29/2000,"Weil Resources, Inc.",Erie,ELMA,0,0,NO
1985,03/28/1986,Newman Drilling Co.,Cattaraugus,CHIPMUNK,4,4,NO
1992,03/26/1993,"McCray, Gordon M.",Chautauqua,LAKESHORE,0,0,YES
1987,04/13/1988,National Fuel Gas Supply Corp.,Cattaraugus,LAKESHORE,0,0,YES
1985,02/24/1986,"Universal Resources Holdings, Incorporated",Chautauqua,GERRY-CHARLOTTE,1,0,NO
1986,04/10/1987,Root Contracting,Allegany,RICHBURG,0,111,INACTIVE
1982,05/25/1994,Berea Oil & Gas Corp.,Chautauqua,,0,0,NO
1990,03/20/1991,"Morse, Theodore S",Chautauqua,LAKESHORE,0,0,NO
1987,02/29/1988,"Sampson Creek Acres, Inc.",Seneca,SENECA FALLS,0,0,YES
1996,04/03/1997,Vineyard Oil & Gas Company,Chautauqua,LAKESHORE,0,0,NO
1998,05/28/1999,"Frey Well Drilling, Inc.",Erie,BUFFALO CREEK,0,0,INACTIVE
1999,02/10/2000,"Spike, David C. and Arlene M.",Ontario,WEST BLOOMFIELD,0,0,YES
1996,08/08/1997,Pennzoil Products Co.,Cattaraugus,,0,0,
1995,04/02/1996,Avoca Farms Ltd,Steuben,AVOCA,0,0,YES
1982,05/31/1994,"Exchange Oil & Gas,  Inc.",Cattaraugus,BRADFORD,1,0,NO
1968,10/05/1994,"Vaughn, Duane",Cattaraugus,BRADFORD,6,0,NO
1998,05/28/1999,"Frey Well Drilling, Inc.",Erie,BUFFALO CREEK,0,0,INACTIVE
1997,04/02/1998,"Lenape Resources, Inc.",Chautauqua,ELLERY,9,0,NO
1974,09/08/1994,Oily Ann Oil And Gas Inc.,Cattaraugus,OLEAN,22,0,NO
1976,08/26/1994,National Fuel Gas Supply Corp.,Steuben,WYCKOFF,0,0,INACTIVE
1993,02/04/1994,"Coats, Quentin I,DurwoodDEC'd",Allegany,RICHBURG,0,21,INACTIVE
1998,03/26/2002,Ginell Oil & Gas Association.,Erie,LAKEVIEW,0,0,INACTIVE
1999,02/22/2000,"Howard, Terry",Chautauqua,LAKESHORE,0,0,YES
1984,04/08/1985,"Templeton Energy,  Inc.",Chautauqua,LAKESHORE,0,0,NO
1973,09/15/1994,Miller Oil Co.,Cattaraugus,BRADFORD,8,0,NO
1978,07/14/1994,National Fuel Gas Supply Corp.,Erie,LAKESHORE,0,0,YES
1984,04/11/1985,International Baslen Enterprises Ltd,Yates,NORTH PENN YAN,0,0,NO
1997,03/10/1998,"Otis Eastern Service, Inc.",Allegany,KARR VALLEY,0,0,INACTIVE
1984,04/02/1985,Strippit Inc.,Erie,ALDEN-LANCASTER,0,0,
1985,01/21/1986,Southwestern Central School District,Chautauqua,LAKESHORE,0,0,YES
1990,02/01/1991,"Becker, John",Erie,ALDEN-LANCASTER,0,0,YES
1969,09/30/1994,Iroquois Gas Corp.,Cattaraugus,,0,0,NO
1997,08/14/2001,Lomak Operating Company,Cattaraugus,LAKESHORE,0,0,NO
1986,04/14/1987,"Envirogas, Inc.",Chautauqua,LAKESHORE,0,0,NO
1990,03/21/1991,CNG Transmission Corp.,Steuben,STONE HILL,0,0,NO
1990,01/09/1991,"Edler, John L. & John W.",Cattaraugus,DAYTON,0,0,YES
1995,03/29/1996,"Universal Resources Holdings, Incorporated",Chautauqua,LAKESHORE,0,0,NO
